Firm Name,Category,City,State,Region,Website,Focus/Sector,AUM/Fund Size,Deal Size/Criteria,Priority,Founded,Team Size,Description,Contact Email,Notes
SV Health Investors,Venture Capital,Boston,MA,Boston/New England,svhealthinvestors.com,"Biotech, Healthcare, Medical Devices",N/A,All stages,1,1993,N/A,"Since 1993",,
General Catalyst,Venture Capital,Cambridge,MA,Boston/New England,generalcatalyst.com,"Technology, Enterprise",N/A,Seed to growth,1,N/A,N/A,"Stripe, Kayak portfolio",,
Battery Ventures,Venture Capital,Boston,MA,Boston/New England,battery.com,"Technology, Software",N/A,Multi-stage,1,N/A,N/A,,,
Bain Capital Ventures,Venture Capital,Boston,MA,Boston/New England,baincapitalventures.com,"Enterprise Software, Fintech",N/A,Seed to growth,1,N/A,N/A,,,
Matrix Partners,Venture Capital,Boston,MA,Boston/New England,matrixpartners.com,Technology,N/A,Multi-stage,1,N/A,N/A,,,
Highland Capital Partners,Venture Capital,Boston,MA,Boston/New England,hcp.com,"Technology, Healthcare",N/A,Multi-stage,1,N/A,N/A,,,
Spark Capital,Venture Capital,Boston,MA,Boston/New England,sparkcapital.com,"Consumer, Enterprise",N/A,Early stage,1,N/A,N/A,"Twitter, Oculus portfolio",,
OpenView Venture Partners,Venture Capital,Boston,MA,Boston/New England,openviewpartners.com,"Software, SaaS",N/A,Expansion stage,1,N/A,N/A,,,
Underscore VC,Venture Capital,Boston,MA,Boston/New England,underscore.vc,B2B technology,N/A,Seed to Series A,2,N/A,N/A,,,
Glasswing Ventures,Venture Capital,Boston,MA,Boston/New England,glasswing.vc,"AI, Deep Tech",N/A,Early stage,2,N/A,N/A,,,
Volition Capital,Venture Capital,Boston,MA,Boston/New England,volitioncapital.com,Technology,N/A,Growth,2,N/A,N/A,,,
Accomplice VC,Venture Capital,Boston,MA,Boston/New England,accomplice.co,Technology,N/A,Seed,2,N/A,N/A,,,
The Engine,Venture Capital,Cambridge,MA,Boston/New England,engine.xyz,Tough Tech,N/A,N/A,1,N/A,N/A,"MIT-backed for science-heavy startups",,
Pillar VC,Venture Capital,Boston,MA,Boston/New England,pillarvc.com,"Software, biotech, robotics",N/A,Seed,2,N/A,N/A,"Allows founders to buy back equity",,
Paladin Capital Group,Venture Capital,Washington,DC,DC/Mid-Atlantic,paladincapgroup.com,"Cybersecurity, Telecom, Life Sciences",$1.5B+,N/A,1,N/A,N/A,"Major cybersecurity companies portfolio",,
C5 Capital,Venture Capital,Washington,DC,DC/Mid-Atlantic,c5capital.com,"Cybersecurity, Space, Energy Security",$500M+,N/A,1,N/A,N/A,,,
QED Investors,Venture Capital,Alexandria,VA,DC/Mid-Atlantic,qedinvestors.com,Fintech,$3B+,N/A,1,N/A,N/A,"Major fintech fund",,
Revolution Ventures,Venture Capital,Washington,DC,DC/Mid-Atlantic,revolution.com,Tech broadly,$1B+,N/A,1,N/A,N/A,"Steve Case",,
In-Q-Tel,Venture Capital,Arlington,VA,DC/Mid-Atlantic,iqt.org,"Intelligence, Defense Tech",N/A,N/A,1,N/A,N/A,"CIA-affiliated; Palantir, Databricks, MongoDB portfolio",,
Decisive Point Ventures,Venture Capital,Washington,DC,DC/Mid-Atlantic,decisivepoint.com,"Defense, Energy, Infrastructure",N/A,Early-stage,2,N/A,N/A,,,
Dcode Capital,Venture Capital,Washington,DC,DC/Mid-Atlantic,dcode.co,Government Technology,N/A,N/A,2,N/A,N/A,"Hyperscience, Trifacta portfolio",,
1776 Ventures,Venture Capital,Washington,DC,DC/Mid-Atlantic,1776.vc,"GovTech, Smart Cities",N/A,N/A,2,N/A,N/A,"Cancer IQ, Aquicore portfolio",,
Booz Allen Ventures,Corporate Venture,Washington,DC,DC/Mid-Atlantic,boozallen.com/ventures,"Cybersecurity, Defense Tech",N/A,N/A,2,N/A,N/A,"Corsha portfolio",,
Hatteras Venture Partners,Venture Capital,Durham,NC,Research Triangle,hatterasvp.com,"Biopharma, medical devices, digital health",$550M+,N/A,1,N/A,N/A,,,"Duke, UNC affiliated"
Pappas Capital,Venture Capital,Durham,NC,Research Triangle,pappascapital.com,"Biotech, biopharmaceuticals, drug delivery",$500M+,N/A,1,N/A,N/A,"RTP ecosystem",,
TrueBridge Capital Partners,Venture Capital,Chapel Hill,NC,Research Triangle,truebridgecapital.com,"Fund-of-funds, mid-to-late stage tech",$1.6B raised,N/A,1,N/A,N/A,"Chapel Hill based",,
Alexandria Venture Investments,Venture Capital,Durham,NC,Research Triangle,are.com,"Biopharma, diagnostics, AgTech",Part of $26B RE,N/A,2,N/A,N/A,,,
Bull City Venture Partners,Venture Capital,Durham,NC,Research Triangle,bullcityventurepartners.com,"B2B software, health IT, e-commerce",N/A,N/A,2,N/A,N/A,,,
SJF Ventures,Venture Capital,Durham,NC,Research Triangle,sjfventures.com,"Impact: clean energy, EdTech, health",N/A,N/A,2,N/A,N/A,,,
Cofounders Capital Lab,Venture Capital,Cary,NC,Research Triangle,cofounderscap.com,Seed accelerator,$12M,N/A,3,N/A,N/A,,,
REX Health Ventures,Venture Capital,Chapel Hill,NC,Research Triangle,N/A,Healthcare,N/A,N/A,2,N/A,N/A,"UNC Health System",,
Innovation Works,Venture Capital,Pittsburgh,PA,Pittsburgh,innovationworks.org,Seed-stage,$78M+ invested,N/A,1,N/A,N/A,"780+ companies; AlphaLab, Robotics Factory; $3.4B follow-on raised",,
Carnegie Foundry,Venture Capital,Pittsburgh,PA,Pittsburgh,carnegiefoundry.com,Robotics/AI Venture Studio,$20M,Series A,1,N/A,N/A,"CMU NREC partnership; US Steel, Oshkosh",,
Magarac Venture Partners,Venture Capital,Pittsburgh,PA,Pittsburgh,magaracventures.com,Seed/Series A,N/A,"$500K-$5M",2,N/A,N/A,"Ex-Draper Triangle team",,
Draper Triangle Ventures,Venture Capital,Pittsburgh,PA,Pittsburgh,drapertriangle.com,Early-stage tech,N/A,N/A,2,N/A,N/A,"Part of Draper Venture Network",,
Adams Capital Management,Venture Capital,Pittsburgh,PA,Pittsburgh,acm.com,Applied technology,$815M since 1994,Series A,2,1994,N/A,"Lead Series A investor",,
Birchmere Ventures,Venture Capital,Pittsburgh,PA,Pittsburgh,birchmerevc.com,Tech/Life Sciences,$115M+,N/A,2,N/A,N/A,"Pre-revenue startups",,
UPMC Enterprises,Corporate Venture,Pittsburgh,PA,Pittsburgh,upmcenterprises.com,Healthcare innovation,$1B committed,N/A,1,N/A,N/A,"$800M+ invested; Evolent Health IPO",,
TTV Capital,Venture Capital,Atlanta,GA,Atlanta,ttvcapital.com,Fintech,$250M Fund VI,N/A,1,N/A,N/A,"100+ portfolio; longest-running fintech VC",,
Tech Square Ventures,Venture Capital,Atlanta,GA,Atlanta,techsquareventures.com,Enterprise tech,N/A,N/A,1,N/A,N/A,"Georgia Tech affiliated; manages Engage fund",,
BIP Capital/BIP Ventures,Venture Capital,Atlanta,GA,Atlanta,bipventures.com,B2B software,N/A,N/A,1,N/A,N/A,"One of Southeast's largest/most active",,
Noro-Moseley Partners,Venture Capital,Atlanta,GA,Atlanta,noromoseley.com,"IT, healthcare",N/A,N/A,1,1983,N/A,"190+ portfolio companies",,
Atlanta Ventures,Venture Capital,Atlanta,GA,Atlanta,atlantaventures.com,Tech,N/A,N/A,2,N/A,N/A,"<$5M ARR companies; Atlanta Tech Village",,
Vocap,Venture Capital,Atlanta,GA,Atlanta,vocap.co,B2B Software,N/A,N/A,2,N/A,N/A,"Future of productivity, healthcare",,
Engage Ventures,Venture Capital,Atlanta,GA,Atlanta,engage.vc,"B2B startups",N/A,N/A,1,N/A,N/A,"Home Depot, Coca-Cola, UPS, Delta backed; 50+ startups raised $835M+",,
Frist Cressey Ventures,Venture Capital,Nashville,TN,Nashville,fristcressey.com,Healthcare services/IT,N/A,N/A,1,N/A,N/A,"Pursuing $400M Fund IV; Senator Bill Frist (HCA family)",,
Martin Ventures,Venture Capital,Nashville,TN,Nashville,martinventures.com,Healthcare services/IT,N/A,N/A,1,N/A,N/A,"35 AI-embedded portfolio companies",,
Health Velocity Capital,Venture Capital,Nashville,TN,Nashville,healthvelocitycapital.com,Healthcare tech/services,$185M Fund I,N/A,1,N/A,N/A,,,
Heritage Group,Venture Capital,Nashville,TN,Nashville,heritagegroup.com,Healthcare,N/A,All stages,2,N/A,N/A,"35+ years",,
TheVentureCity,Venture Capital,Miami,FL,South Florida,theventurecity.com,"SaaS, FinTech, HealthTech, AI",$145M,N/A,1,N/A,N/A,"35% female founders; LatAm focus",,
Fuel Venture Capital,Venture Capital,Miami,FL,South Florida,fuelventurecapital.com,"FinTech, digital platforms",$100M,N/A,1,N/A,N/A,"$400M+ deployed",,
Ocean Azul Partners,Venture Capital,Miami,FL,South Florida,oceanazulpartners.com,"FinTech, e-commerce, mobility",N/A,N/A,1,N/A,N/A,"LatAm focus: Kavak, Rappi portfolio",,
Florida Funders,Venture Capital,Miami,FL,South Florida,floridafunders.com,"SaaS, cybersecurity, climate",N/A,N/A,2,N/A,N/A,"Equity crowdfunding hybrid",,
Pantera Capital,Venture Capital,Miami,FL,South Florida,panteracapital.com,Crypto/blockchain,$4.8B,N/A,1,N/A,N/A,"First US crypto fund",,
Starlight Ventures,Venture Capital,Miami,FL,South Florida,starlightventures.com,Breakthrough technology,N/A,Pre-seed/seed,2,N/A,N/A,,,
Guild Capital,Venture Capital,Miami,FL,South Florida,guildcapital.com,Contrarian startups,N/A,Seed to Series B,2,N/A,N/A,"Chicago-based with strong Miami presence",,
LAB Ventures,Venture Capital,Miami,FL,South Florida,labventures.com,PropTech,N/A,Pre-seed/seed,2,N/A,N/A,"Startup studio and accelerator",,
Krillion Ventures,Venture Capital,Miami,FL,South Florida,krillionventures.com,"Healthcare, fintech, real estate tech",N/A,Seed,2,N/A,N/A,,,
Miami Angels,Venture Capital,Miami,FL,South Florida,miamiangels.vc,Miami startups,N/A,Angel/seed,2,N/A,150+,"150+ member angel network",,
Secocha Ventures,Venture Capital,Miami,FL,South Florida,secocha.vc,"Consumer, fintech, healthtech",N/A,Pre-seed to Series A,2,N/A,N/A,"Backed Papa (healthtech)",,
SaaS VC,Venture Capital,Miami,FL,South Florida,saasvc.io,SaaS startups,N/A,Seed,2,N/A,N/A,"Bi-coastal (Miami and DC)",,
Capstone Partners,Investment Banking,Boston,MA,Boston/New England,capstonepartners.com,Middle-market M&A,N/A,N/A,1,N/A,N/A,"One of largest independently-owned IB",,
Covington Associates,Investment Banking,Boston,MA,Boston/New England,covingtonassociates.com,"Healthcare, Business Services, Tech",N/A,N/A,1,1991,N/A,"Founded 1991; HBS alumni",,
Tully & Holland,Investment Banking,Boston,MA,Boston/New England,tullyandholland.com,"Consumer: Food & Beverage, Retail",N/A,N/A,2,N/A,N/A,"30+ years consumer focus",,
Provident Healthcare Partners,Investment Banking,Boston,MA,Boston/New England,providenthp.com,"Healthcare services, pharma services",N/A,N/A,1,N/A,N/A,"Highly specialized",,
Progress Partners,Investment Banking,Boston,MA,Boston/New England,progresspartners.com,Technology M&A,N/A,N/A,2,N/A,N/A,"Boston and NYC",,
Shields & Company,Investment Banking,Boston,MA,Boston/New England,shieldsco.com,"Business services, consumer, manufacturing",N/A,N/A,2,1991,N/A,"Founded 1991",,
AGC Partners,Investment Banking,Boston,MA,Boston/New England,agcpartners.com,"Software, IT",N/A,N/A,1,N/A,N/A,"Tech-focused boutique",,
Mirus Capital Advisors,Investment Banking,Boston,MA,Boston/New England,miruscapitaladvisors.com,"Industrial, tech",N/A,Lower middle-market,2,1987,N/A,"Founded 1987",,
Dunn Rush & Co.,Investment Banking,Boston,MA,Boston/New England,dunnrush.com,Founder-owned businesses,N/A,Sell-side,2,N/A,N/A,,,
Back Bay Life Science Advisors,Investment Banking,Boston,MA,Boston/New England,bblsa.com,BioPharma/MedTech,N/A,N/A,1,N/A,N/A,"Strategy consulting and IB hybrid",,
Bowen,Investment Banking,Boston,MA,Boston/New England,bowenllc.com,"Cloud, defense tech, healthcare IT",N/A,N/A,2,N/A,N/A,"Growth tech IB; founder-led businesses",,
KippsDeSanto & Co.,Investment Banking,Tysons,VA,DC/Mid-Atlantic,kippsdeSanto.com,"Aerospace, Defense, Government Services",N/A,N/A,1,N/A,N/A,"Premier defense M&A (now Truist)",,
The McLean Group,Investment Banking,McLean,VA,DC/Mid-Atlantic,themcleangroup.com,"Defense, Government & Intelligence, Security",N/A,N/A,1,N/A,60+,"30+ years; 60+ professionals",,
Baird (ADG Group),Investment Banking,Washington,DC,DC/Mid-Atlantic,bairdib.com,"Aerospace, Defense, Government Services",N/A,N/A,1,N/A,~30,"~30 bankers DC/London/LA",,
SC&H Capital,Investment Banking,Sparks,MD,DC/Mid-Atlantic,schcapital.com,"Government Contracting, Middle-market",N/A,N/A,1,N/A,N/A,"800+ transactions; $11B value",,
DC Advisory,Investment Banking,Washington,DC,DC/Mid-Atlantic,dcadvisory.com,"Aerospace, Defense, Government Services",N/A,N/A,2,N/A,N/A,"International with DC presence",,
District Capital Partners,Investment Banking,Washington,DC,DC/Mid-Atlantic,N/A,"Government services, IT services, aerospace",N/A,N/A,2,N/A,N/A,,,
Harris Williams,Investment Banking,Richmond,VA,Richmond,harriswilliams.com,Multi-sector M&A,N/A,"$50-500M deals",1,N/A,N/A,"Major Charlotte presence; PNC subsidiary",,
BlackArch Partners,Investment Banking,Charlotte,NC,Charlotte/Southeast,blackarchpartners.com,Multi-sector M&A,N/A,N/A,1,N/A,N/A,"Strong analyst program; founded by former Wachovia bankers",,
Bourne Partners,Investment Banking,Charlotte,NC,Charlotte/Southeast,bournepartners.com,"Healthcare, pharmaceuticals",N/A,N/A,2,N/A,N/A,"25+ years healthcare finance",,
Fidus Partners,Investment Banking,Charlotte,NC,Charlotte/Southeast,fiduspartners.com,Multi-sector,N/A,N/A,2,2005,N/A,"M&A, debt advisory; since 2005; 70+ deals; $3B+",,
Carnegie Point,Investment Banking,Charlotte,NC,Charlotte/Southeast,carnegiepoint.com,Multi-sector,N/A,N/A,2,N/A,N/A,"70+ deals; $3B+",,
7 Mile Advisors,Investment Banking,Charlotte,NC,Charlotte/Southeast,7mileadvisors.com,"IT services, software, tech-enabled services",N/A,N/A,2,N/A,N/A,,,
Bailey & Company,Investment Banking,Nashville,TN,Nashville,baileyco.com,Middle-market healthcare,N/A,N/A,1,N/A,N/A,"Preeminent healthcare M&A; PE network",,
Brentwood Capital Advisors,Investment Banking,Nashville,TN,Nashville,brentwoodcapital.com,"Healthcare services, healthcare IT",N/A,N/A,1,1999,N/A,"Premier independent healthcare bank since 1999",,
Hyde Park Capital,Investment Banking,Nashville,TN,Nashville,hydeparkcap.com,"Healthcare, technology, industrials",N/A,N/A,1,N/A,N/A,"2024 Growth Equity Deal of Year",,
VelocityHealth Securities,Investment Banking,Nashville,TN,Nashville,velocityhealthsecurities.com,"Biotech, diagnostics, HCIT",N/A,"$10M-$200M EV",2,N/A,N/A,"FINRA licensed",,
Harpeth Capital,Investment Banking,Nashville,TN,Nashville,harpethcapital.com,"Healthcare, multi-sector",N/A,N/A,2,N/A,N/A,"Senior-level attention",,
Cain Brothers (KeyBanc),Investment Banking,Nashville,TN,Nashville,N/A,"Corporate/not-for-profit healthcare",N/A,N/A,2,N/A,N/A,"Payers, providers, IT, life sciences",,
Boxwood Partners,Investment Banking,Richmond,VA,Richmond,boxwoodpartners.com,Middle-market M&A,N/A,N/A,1,N/A,N/A,"50+ years experience; franchising focus",,
Matrix Capital Markets,Investment Banking,Richmond,VA,Richmond,matrixcmg.com,"Downstream Energy, automotive aftermarket",N/A,N/A,2,N/A,N/A,"Regional",,
Transact Capital,Investment Banking,Richmond,VA,Richmond,transactcapital.com,Sell-side M&A,N/A,"$10M-$200M EV",2,N/A,N/A,,,
Blue Heron Capital,Private Equity,Richmond,VA,Richmond,blueheroncap.com,"Healthcare, enterprise technology",N/A,Growth equity,2,N/A,N/A,"OA Collaborative network",,
Aliri Capital,Private Equity,Richmond,VA,Richmond,aliricapital.com,"Industrial, manufacturing",N/A,Lower middle-market,2,N/A,N/A,,,
BroadSpan Capital,Investment Banking,Miami,FL,South Florida,broadspancapital.com,"LatAm cross-border M&A, restructuring",N/A,N/A,1,N/A,N/A,"Offices in Rio, Sao Paulo, Bogota",,
BTG Pactual,Investment Banking,Miami,FL,South Florida,btgpactual.com,Full-service LatAm IB,N/A,N/A,1,N/A,N/A,"Largest LatAm investment bank",,
Cassel Salpeter & Co.,Investment Banking,Miami,FL,South Florida,casselsalpeter.com,"Middle-market M&A, restructuring",N/A,N/A,1,N/A,N/A,"100+ years combined experience",,
Antarctica Advisors,Investment Banking,Miami,FL,South Florida,antarcticaadvisors.com,Cross-border M&A,N/A,N/A,2,N/A,N/A,"Americas, Europe, Asia",,
Cross Keys Capital,Investment Banking,Fort Lauderdale,FL,South Florida,crosskeyscapital.com,Healthcare services,N/A,N/A,2,N/A,N/A,"Physician practice roll-ups",,
Ladenburg Thalmann,Investment Banking,Miami,FL,South Florida,ladenburg.com,"Investment banking, brokerage",N/A,N/A,2,1876,N/A,"Founded 1876; now part of Advisor Group",,
Vaupen Financial Advisors,Investment Banking,Miami,FL,South Florida,vaupenfinancial.com,"Corporate finance, M&A",N/A,Middle-market,2,N/A,N/A,,,
Compass Advisory Partners,Investment Banking,Pittsburgh,PA,Pittsburgh,compassadv.com,"Debt placement, restructuring, M&A",N/A,N/A,2,N/A,N/A,"25+ years",,
Schneider Downs Capital,Investment Banking,Pittsburgh,PA,Pittsburgh,schneiderdowns.com/capital,M&A advisory,N/A,N/A,2,N/A,N/A,"100+ transactions",,
Stone Pier Capital Advisors,Investment Banking,Pittsburgh,PA,Pittsburgh,stonepiercap.com,Lower middle market M&A,N/A,N/A,2,N/A,N/A,"Domestic and international",,
Fairmount Partners,Investment Banking,West Conshohocken,PA,Philadelphia,fairmountpartners.com,"Healthcare, technology, industrial growth",N/A,Middle-market,2,N/A,N/A,,,
Falcon Capital Partners,Investment Banking,Philadelphia,PA,Philadelphia,falconpartners.com,"Healthcare technology, tech-enabled services",N/A,M&A,2,N/A,N/A,,,
Fidelity Investments,Asset Management,Boston,MA,Boston/New England,fidelity.com,Full-service,$4.5T+,N/A,1,N/A,N/A,,,"HBS, MIT Sloan, BC, Northeastern recruiting"
State Street Global Advisors,Asset Management,Boston,MA,Boston/New England,ssga.com,Index/ETF specialist,$4T+,N/A,1,N/A,N/A,,,"HBS, MIT Sloan recruiting"
Wellington Management,Asset Management,Boston,MA,Boston/New England,wellington.com,Independent advisor,$1T+,N/A,1,N/A,N/A,,,"HBS, MIT Sloan recruiting"
MFS Investment Management,Asset Management,Boston,MA,Boston/New England,mfs.com,Active management,$600B+,N/A,1,N/A,N/A,,,"HBS, MIT Sloan recruiting"
Loomis Sayles & Company,Asset Management,Boston,MA,Boston/New England,loomissayles.com,Fixed income specialist,$300B+,N/A,1,N/A,N/A,,,HBS recruiting
Eaton Vance,Asset Management,Boston,MA,Boston/New England,eatonvance.com,Active management,$575B+,N/A,1,N/A,N/A,,,HBS recruiting
Columbia Threadneedle,Asset Management,Boston,MA,Boston/New England,columbiathreadneedle.com,Global asset manager,$600B+,N/A,1,N/A,N/A,,,HBS recruiting
Cambridge Associates,Asset Management,Boston,MA,Boston/New England,cambridgeassociates.com,Institutional consulting,$500B+ advisory,N/A,1,N/A,N/A,,,"HBS, MIT Sloan recruiting"
Putnam Investments,Asset Management,Boston,MA,Boston/New England,putnam.com,Active management,$150B+,N/A,1,N/A,N/A,,,HBS recruiting
Vanguard Group,Asset Management,Malvern,PA,Philadelphia,vanguard.com,"Index funds, ETFs",$9T+,N/A,1,N/A,N/A,,,
CenterSquare Investment Management,Asset Management,Philadelphia,PA,Philadelphia,centersquare.com,Real estate,$13.5B,N/A,2,N/A,N/A,,,
Cooke & Bieler,Asset Management,Philadelphia,PA,Philadelphia,cooke-bieler.com,Value equities,$8B+,N/A,2,N/A,N/A,,,
Invesco,Asset Management,Atlanta,GA,Atlanta,invesco.com,Global asset manager,$1.63T+,N/A,1,N/A,N/A,,,
Brown Advisory,Asset Management,Baltimore,MD,Baltimore,brownadvisory.com,"Multi-asset, ESG",$160B+,N/A,1,N/A,N/A,,,
Brown Capital Management,Asset Management,Baltimore,MD,Baltimore,browncapital.com,Small/Mid-cap growth,$10B+,N/A,2,N/A,N/A,,,
DF Dent & Company,Asset Management,Baltimore,MD,Baltimore,dfdent.com,Quality growth equity,$9.7B,N/A,2,N/A,N/A,,,
1919 Investment Counsel,Asset Management,Baltimore,MD,Baltimore,1919ic.com,"Wealth management, Alternatives",$24B,N/A,2,N/A,N/A,,,
Hartford Funds,Asset Management,Hartford,CT,Hartford,hartfordfunds.com,"Mutual funds, ETFs",$140B+,N/A,1,N/A,N/A,,,
Conning & Company,Asset Management,Hartford,CT,Hartford,conning.com,Insurance asset management,$200B+,N/A,1,N/A,N/A,,,
Bessemer Trust,Family Office,Palm Beach,FL,South Florida,bessemertrust.com,Multi-family office,$120B,N/A,1,N/A,N/A,"118+ years",,
Cresset Capital,Family Office,Palm Beach,FL,South Florida,cressetcapital.com,Multi-family office,$38B,N/A,1,N/A,N/A,"UHNW families",,
Icahn Enterprises,Family Office,Sunny Isles Beach,FL,South Florida,ielp.com,Single family office,$10B+,N/A,1,N/A,N/A,"Carl Icahn; relocated from NYC",,
Castle Island Family Office,Family Office,Palm Beach,FL,South Florida,N/A,"Direct investing",$1B+,N/A,2,2020,N/A,"Founded 2020; PE, RE, alternatives",,
Family Office Networks,Family Office,Palm Beach,FL,South Florida,familyofficenetworks.com,Community/platform,Network,N/A,2,N/A,N/A,"10,000+ family office connections",,
WE Family Offices,Family Office,Miami,FL,South Florida,wefamilyoffices.com,Multi-family office,$2.7B,N/A,2,N/A,N/A,,,
Gentrust Wealth Management,Family Office,Miami,FL,South Florida,gentrustwealth.com,Multi-family office,$4.46B,N/A,2,N/A,N/A,,,
Valor Advisors,Family Office,Miami,FL,South Florida,valoradvisors.com,"Multi-family office; LatAm UHNW",$3.12B,N/A,2,N/A,N/A,,,
CV Advisors,Family Office,Miami,FL,South Florida,cvadvisors.com,Multi-family office,$1.5B+,N/A,2,N/A,N/A,,,
Omnia Family Wealth,Family Office,Miami,FL,South Florida,omniafamilywealth.com,Multi-family office,$1B+,N/A,2,N/A,N/A,,,
Pathstone,Family Office,Boston,MA,Boston/New England,pathstone.com,Multi-family office,$116B+,N/A,1,N/A,40+,"40+ investment team",,
Rockefeller Capital Management,Family Office,Boston,MA,Boston/New England,rockco.com,Multi-family office,N/A,N/A,1,N/A,N/A,"UHNW families",,
Kensington Investment Company,Family Office,Boston,MA,Boston/New England,kensingtoninvestment.com,Single family office,N/A,N/A,2,N/A,N/A,"Lewis family; ESG focus",,
Monument Bay Capital Partners,Family Office,Boston,MA,Boston/New England,monumentbaycapital.com,Family office PE,N/A,N/A,2,N/A,N/A,"Boston + Palm Beach",,
Wilmington Trust,Family Office,Wilmington,DE,Delaware,wilmingtontrust.com,Family office services,$150B+,N/A,1,N/A,N/A,,,
Bessemer Trust (Delaware),Family Office,Wilmington,DE,Delaware,bessemertrust.com,Wealth management,$175B+ (firm-wide),N/A,1,N/A,N/A,,,
Westover Capital Advisors,Family Office,Wilmington,DE,Delaware,westovercapitaladvisors.com,Family office solutions,$1B+,N/A,2,N/A,N/A,,,
DUMAC (Duke),Endowment,Durham,NC,Research Triangle,N/A,Endowment management,$12.3B,N/A,1,N/A,N/A,"Investment analysts hiring",,
UNC Management Company,Endowment,Chapel Hill,NC,Research Triangle,uncmc.unc.edu,Endowment management,$13B,N/A,1,N/A,N/A,"Investment professionals hiring",,
Penn Office of Investments,Endowment,Philadelphia,PA,Philadelphia,upenn.edu/investments,Endowment management,$24.8B,N/A,1,N/A,N/A,"Analysts, Associates hiring",,
Georgetown Investment Office,Endowment,Washington,DC,DC/Mid-Atlantic,N/A,Endowment management,$4B+,N/A,2,N/A,N/A,"Investment staff hiring",,
Johns Hopkins Endowment,Endowment,Baltimore,MD,Baltimore,N/A,Endowment management,$8B+,N/A,2,N/A,N/A,"Healthcare investment roles",,
UVA Investment Management,Endowment,Charlottesville,VA,DC/Mid-Atlantic,uvimco.org,Endowment management,$14B+,N/A,1,N/A,N/A,"Investment professionals hiring",,
Thoma Bravo,Private Equity,Miami,FL,South Florida,thomabravo.com,Software PE,$130B+,N/A,1,N/A,N/A,"Moved center of gravity to Miami",,
RedBird Capital Partners,Private Equity,Miami,FL,South Florida,redbirdcap.com,"Sports, media",$10B,N/A,1,N/A,N/A,"Opened Miami office",,
Boyne Capital,Private Equity,Miami,FL,South Florida,boynecapital.com,Lower mid-market,$574M,N/A,2,N/A,N/A,,"Hires from Florida MBA programs"
Northlane Capital Partners,Private Equity,Bethesda,MD,DC/Mid-Atlantic,northlanecap.com,"Healthcare, business services",~$1.8B,N/A,2,N/A,N/A,"Spun out of American Capital",,
Slate Capital Group,Private Equity,Baltimore,MD,Baltimore,slatecap.com,"Business services, distribution",N/A,Lower middle-market,2,N/A,N/A,,,
Quad-C Management,Private Equity,Charlottesville,VA,DC/Mid-Atlantic,quadcmanagement.com,"Business services, consumer",~$3B,N/A,2,N/A,N/A,,"UVA alumni network"
Littlejohn & Co.,Private Equity,Greenwich,CT,Connecticut,littlejohnllc.com,Special situations,$8B,N/A,1,N/A,N/A,,,
Great Point Partners,Private Equity,Greenwich,CT,Connecticut,gpplp.com,Healthcare PE,N/A,N/A,2,N/A,N/A,,,
Alvarez & Marsal Capital,Private Equity,Greenwich,CT,Connecticut,alvarezandmarsal.com,Restructuring PE,$3B+,N/A,1,N/A,N/A,"Leverages A&M operational consulting",,
ABRY Partners,Private Equity,Boston,MA,Boston/New England,abry.com,"Media, communications",$5.4B,N/A,1,N/A,N/A,,,
NEA (New Enterprise Associates),Venture Capital,Chevy Chase,MD,DC/Mid-Atlantic,nea.com,"Tech, healthcare",~$20B,N/A,1,N/A,N/A,"One of world's largest VC",,
Updata Partners,Private Equity,Washington,DC,DC/Mid-Atlantic,updata.com,"Enterprise software, B2B tech",N/A,Growth,2,N/A,N/A,,,
DataTribe,Venture Capital,Fulton,MD,DC/Mid-Atlantic,datatribe.com,Cyber startup studio,N/A,Seed,2,N/A,N/A,"Co-founds with former NSA/gov experts",,
Jumpstart Foundry,Venture Capital,Nashville,TN,Nashville,jumpstartfoundry.com,Health tech accelerator,N/A,Micro-VC,2,N/A,N/A,,,
Nashville Capital Network,Venture Capital,Nashville,TN,Nashville,nashvillecapital.com,Angel fund network,N/A,Early-stage,2,N/A,N/A,,,
Titan Advisors,Hedge Fund,Stamford,CT,Connecticut,titanadvisors.com,"Fund-of-funds, emerging manager seeder",~$4B,N/A,2,N/A,N/A,"Identifies and backs new hedge fund talent",,
