Firm Name,Category,City,State,Region,Website,Focus/Sector,AUM/Fund Size,Deal Size/Criteria,Priority,Founded,Team Size,Description,Contact Email,UW Foster Relevance,Notes
Prelude Ventures,Venture Capital,San Francisco,CA,Bay Area,preludeventures.com,Climate/sustainability,N/A,Early-stage,2,N/A,N/A,,,Low,
G2 Venture Partners,Venture Capital,San Francisco,CA,Bay Area,g2vp.com,Climate/industrial tech,N/A,N/A,2,N/A,N/A,,,Low,
8VC,Venture Capital,San Francisco,CA,Bay Area,8vc.com,Deep tech/healthcare,N/A,"Joe Lonsdale (Palantir co-founder)",1,N/A,N/A,,,Low,
Khosla Ventures,Venture Capital,Menlo Park,CA,Bay Area,khoslaventures.com,Healthcare/tech,N/A,Vinod Khosla,1,N/A,N/A,,,Low,
Canaan Partners,Venture Capital,Menlo Park,CA,Bay Area,canaan.com,"Biopharma, digital health",$3.08B,N/A,1,N/A,N/A,,,Low,
Pivotal Life Sciences,Venture Capital,San Francisco,CA,Bay Area,pivotallifesciences.com,Drug discovery,N/A,Nan Fung Group backing,2,N/A,N/A,,,Low,
500 Global,Venture Capital,San Francisco,CA,Bay Area,500.co,"5,000+ companies",$2.7B,"80 countries; 51 unicorns",1,N/A,N/A,,,Low,
Celesta Capital,Venture Capital,Silicon Valley,CA,Bay Area,celestacap.com,"AI, semiconductors",$1B+,"100+ investments",1,N/A,N/A,,,Low,
South Park Commons,Venture Capital,San Francisco,CA,Bay Area,southparkcommons.com,Support before company formation,Pre-seed,N/A,2,N/A,N/A,,,Low,
Basis Set Ventures,Venture Capital,San Francisco,CA,Bay Area,basisset.com,AI for productivity,Seed,N/A,2,N/A,N/A,,,Low,
Upfront Ventures,Venture Capital,Santa Monica,CA,Los Angeles,upfront.com,"Digital media, SaaS",$2B+ raised,"Seed, Series A; Ring, TrueCar, GOAT, Bird",1,N/A,N/A,"MBA intern program; draws from UCLA Anderson, USC Marshall",,Low,
Greycroft,Venture Capital,Los Angeles,CA,Los Angeles,greycroft.com,"Consumer tech, AI",$3B+,"Seed-Growth; Bird, Bumble, Venmo",1,N/A,N/A,,,Low,
Crosscut Ventures,Venture Capital,Santa Monica,CA,Los Angeles,crosscut.vc,"Frontier tech: space, energy, defense",$300M+,Seed,1,N/A,N/A,"Largest LA seed fund; Ventures Fellows with UCLA/USC",,Low,
Wonder Ventures,Venture Capital,Los Angeles,CA,Los Angeles,N/A,"Backed nearly all LA unicorns",Pre-seed,"$250K-$500K checks",2,N/A,N/A,,,Low,
Bonfire Ventures,Venture Capital,Los Angeles,CA,Los Angeles,N/A,B2B tech,Seed,"#3 Founder's Choice 2022",2,N/A,N/A,,,Low,
Mucker Capital,Venture Capital,Santa Monica,CA,Los Angeles,N/A,LA-focused,Seed,Accelerator and fund,2,N/A,N/A,,,Low,
Fika Ventures,Venture Capital,Los Angeles,CA,Los Angeles,N/A,"Data, AI, automation, fintech",Seed,N/A,2,N/A,N/A,,,Low,
MaC Venture Capital,Venture Capital,Los Angeles,CA,Los Angeles,N/A,"Consumer, FinTech, EdTech, Digital Health",Pre-seed-B,Seed-A,2,N/A,N/A,,,Low,
March Capital,Venture Capital,Santa Monica,CA,Los Angeles,N/A,"Enterprise, AI, Security",Early/Growth,Multi-stage,2,N/A,N/A,,,Low,
Fifth Wall,Venture Capital,Los Angeles,CA,Los Angeles,N/A,Real estate technology (proptech),$1B+,Multi-stage,1,N/A,N/A,"Hires MBAs with real estate backgrounds from Wharton, Columbia",,Low,
The Chernin Group (TCG),Venture Capital,Los Angeles,CA,Los Angeles,N/A,"Media, entertainment, consumer",N/A,Multi-stage,2,N/A,N/A,,,Low,
Elysian Park Ventures,Venture Capital,Los Angeles,CA,Los Angeles,N/A,Sports tech,N/A,Multi-stage,2,N/A,N/A,"Dodgers ownership linked",,Low,
Tech Coast Angels,Venture Capital,Orange County/LA,CA,Los Angeles,N/A,Angel/Seed,N/A,Seed,2,N/A,425+,"Largest angel group",,Low,
Act One Ventures,Venture Capital,Los Angeles,CA,Los Angeles,N/A,"E-commerce infrastructure, vertical SaaS","Pre-seed, Seed",Seed,2,N/A,N/A,,,Low,
Slauson & Co.,Venture Capital,Los Angeles,CA,Los Angeles,N/A,"Diverse founders, community focus",Seed,Seed,2,N/A,N/A,,,Low,
Science Ventures,Venture Capital,Santa Monica,CA,Los Angeles,N/A,Incubator,Incubator/Seed,Seed,2,N/A,N/A,"Created Dollar Shave Club",,Low,
Silver Creek Capital Management,Hedge Fund,Seattle,WA,PNW,silvercreekcapital.com,Fund of funds,$10B+,"Alternative asset manager; 25+ year history",2,N/A,N/A,,,Low,
Parametric Portfolio Associates,Hedge Fund,Seattle,WA,PNW,N/A,Quantitative,$8.9B,"Systematic equity, alternative risk premia; Eaton Vance/Morgan Stanley",2,N/A,100+,"Recruits UW and West Coast grads for research roles",,Moderate,
Euclidean Technologies,Hedge Fund,Seattle,WA,PNW,N/A,ML-based equity,~$136M,Converted to ETF structure,3,N/A,N/A,,,Low,
Russell Investments,Asset Manager,Seattle,WA,PNW,russellinvestments.com,Manager-of-managers,N/A,Indexes and alternatives,2,N/A,N/A,"Hires MBAs via CFA community or UW connections",,Moderate,
Cascade Investment,Family Office,Seattle,WA,PNW,N/A,Value investing,N/A,"Bill Gates family office",2,N/A,N/A,"Occasionally hires MBA grads for public equities team",,Low,"Very selective; requires top credentials"
J E Moody & Company,Hedge Fund,Portland,OR,PNW,jemoody.com,Quantitative CTA,N/A,"2021 HFM US Quant Award; physics PhD founder",2,N/A,N/A,,,Low,
Eight Bridges Capital Management,Hedge Fund,Portland,OR,PNW,eightbridges.com,Long/short hedged,N/A,US opportunistic investments,3,N/A,N/A,,,Low,
Tygh Capital Management,Hedge Fund,Portland,OR,PNW,tyghcap.com,Alternative,N/A,N/A,3,N/A,N/A,,,Low,
Farallon Capital,Hedge Fund,San Francisco,CA,Bay Area,faralloncapital.com,Multi-strategy,$40B+,"Credit, equity, real estate",1,1986,200+,"Tom Steyer founded; Stanford GSB network",,Low,
ValueAct Capital,Hedge Fund,San Francisco,CA,Bay Area,valueact.com,Activist investing,$16B+,"ESG focus; takes board seats",1,N/A,~20,"Hires pre-MBA analysts and occasionally MBA grads",,Low,
Dodge & Cox,Asset Manager,San Francisco,CA,Bay Area,dodgeandcox.com,Value-oriented,$300B+,Equity and fixed income,1,N/A,N/A,"Recruits MBA grads from Stanford, Berkeley",,Low,
Woodline Partners,Hedge Fund,San Francisco,CA,Bay Area,woodlinepartners.com,Fundamental L/S equity,N/A,Tech-driven analytics,2,N/A,N/A,,,Low,
Two Sigma (SF Office),Hedge Fund,San Francisco,CA,Bay Area,twosigma.com,Quantitative,$60B+,Major SF presence,1,N/A,N/A,,,Low,
Point72 (SF Office),Hedge Fund,San Francisco,CA,Bay Area,point72.com,Multi-strategy,$35B+,Steve Cohen's fund,1,N/A,N/A,,,Low,
Oaktree Capital Management,Hedge Fund/PE,Los Angeles,CA,Los Angeles,oaktreecapital.com,"Distressed debt, credit, PE, real estate",$169B,N/A,1,1995,N/A,"Howard Marks co-founded; MBA associate program from Wharton, UCLA",,Low,
DoubleLine Capital,Hedge Fund,Los Angeles,CA,Los Angeles,N/A,"Fixed income, credit",$90B+,N/A,1,2009,N/A,,,Low,
Canyon Capital Advisors,Hedge Fund,Los Angeles,CA,Los Angeles,N/A,"Value-oriented, event-driven, distressed",$13.5B+,N/A,1,N/A,N/A,"Hires MBAs for research roles from UCLA Anderson, USC",,Low,
TCW Group,Asset Manager,Los Angeles,CA,Los Angeles,N/A,"Fixed income, equity, alternatives",$200B+,N/A,1,1971,N/A,"Recruits MBA grads from Anderson for fixed-income research",,Low,
Empyrean Capital,Hedge Fund,Los Angeles,CA,Los Angeles,N/A,Multi-strategy,N/A,Goldman vets founded,2,2004,N/A,,,Low,
Universa Investments,Hedge Fund,Los Angeles,CA,Los Angeles,N/A,Tail risk,N/A,Nassim Taleb's Black Swan fund,2,N/A,N/A,,,Low,
Kayne Anderson,Hedge Fund,Los Angeles,CA,Los Angeles,N/A,"Energy infrastructure, real estate, credit",$33B+,N/A,1,N/A,N/A,,,Low,
Beach Point Capital,Hedge Fund,Los Angeles,CA,Los Angeles,N/A,Credit,Credit,N/A,2,N/A,N/A,,,Low,
Post Advisory Group,Hedge Fund,Los Angeles,CA,Los Angeles,N/A,"High yield, distressed",Credit,N/A,2,N/A,N/A,,,Low,
Cercano Management,Family Office,Bellevue,WA,PNW,N/A,UHNW families,$10-10.5B,"Spun from Paul Allen's Vulcan Capital; largest position: Microsoft",2,N/A,N/A,,,Low,
Brighton Jones,Family Office,Seattle,WA,PNW,brightonjones.com,UHNW,N/A,"Amazon, Boeing, Microsoft exec comp expertise",3,N/A,N/A,,,Low,
Caprock,Family Office,Mercer Island,WA,PNW,caprock.com,"UHNW, impact strategies",N/A,Multi-family office,3,N/A,N/A,,,Low,
Bessemer Trust (Seattle),Family Office,Seattle,WA,PNW,bessemertrust.com,UHNW,N/A,"118+ year history",3,N/A,N/A,,,Low,
BNY Wealth (Seattle),Family Office,Seattle,WA,PNW,bny.com/wealth,"Business owner transitions, family offices",N/A,N/A,3,N/A,N/A,,,Low,
The Clarius Group,Family Office,Seattle,WA,PNW,clariusgroup.com,Intergenerational wealth,N/A,Shared family office,3,N/A,N/A,,,Low,
Hoban Family Office,Family Office,Seattle,WA,PNW,hobanfamilyoffice.com,Real estate focus,$5B+ managed,N/A,3,N/A,N/A,,,Low,
Ferguson Wellman Capital Management,Family Office,Portland,OR,PNW,fergusonwellman.com,Employee-owned,$8.9B,"1,026 clients; CNBC Top 100 (#10 in 2024)",2,1975,N/A,,,Low,
Octavia Group,Family Office,Portland,OR,PNW,N/A,Private family office,N/A,"$10M minimum; Ferguson Wellman division",3,N/A,N/A,,,Low,
Becker Capital Management,Family Office,Portland,OR,PNW,beckercap.com,ESG/impact focus,~$5B,"Also Seattle, Bend, Boise",2,1976,N/A,,,Low,
Vista Capital Partners,Family Office,Portland,OR,PNW,N/A,"Wealth management, financial planning",N/A,N/A,3,N/A,N/A,,,Low,
Campbell Global,Family Office,Portland,OR,PNW,N/A,Timberland investment,N/A,Specialist,3,1981,N/A,,,Low,
RVK Inc.,Family Office,Portland,OR,PNW,N/A,Investment consulting,N/A,Institutions,3,1985,N/A,,,Low,
ICONIQ Capital,Family Office,San Francisco,CA,Bay Area,iconiqcapital.com,Multi-family office,N/A,"Early Facebook executives; tech entrepreneurs",1,2011,N/A,,,Low,
Fremont Group,Family Office,San Francisco,CA,Bay Area,N/A,Bechtel Family SFO,N/A,"Industrials, life sciences, tech",2,N/A,N/A,,,Low,
Dolby Family Ventures,Family Office,San Francisco,CA,Bay Area,N/A,Tech VC,N/A,"Ray Dolby family; digital media, security, cloud",2,N/A,N/A,,,Low,
Baruch Future Ventures,Family Office,San Francisco,CA,Bay Area,N/A,Climate/VC,N/A,"Tom Baruch; clean energy, food, water",2,N/A,N/A,,,Low,
Cresset Capital,Family Office,San Francisco,CA,Bay Area,cressetcapital.com,UHNW MFO,N/A,"True fiduciary; private investment access",2,N/A,N/A,"Two-year post-MBA Rotational Analyst program",,Low,
Callan Family Office,Family Office,San Francisco,CA,Bay Area,callanfamilyoffice.com,UHNW,N/A,"Callan LLC partnership; institutional-grade",2,N/A,N/A,,,Low,
Bessemer Trust (SF),Family Office,San Francisco,CA,Bay Area,bessemertrust.com,UHNW,N/A,"118+ year history",3,N/A,N/A,,,Low,
Willcrest Partners,Family Office,San Francisco,CA,Bay Area,willcrest.com,B2B services,N/A,"Family office backed; $1-5M EBITDA companies",2,N/A,N/A,,,Low,
Guggenheim Partners,Family Office,Santa Monica,CA,Los Angeles,N/A,"Investment management, family office",$285B+,N/A,1,N/A,N/A,,,Low,
Core Family Office,Family Office,Los Angeles,CA,Los Angeles,N/A,UHNW,N/A,"Tax strategy, investments, lifestyle management",3,N/A,N/A,,,Low,
Rockefeller Global Family Office,Family Office,Los Angeles,CA,Los Angeles,N/A,MFO,N/A,Expanding LA presence,2,N/A,N/A,,,Low,
UBS Private Family Wealth Partners,Family Office,Los Angeles,CA,Los Angeles,N/A,Entertainment clientele,$40B+,Family office resources,2,N/A,N/A,,,Low,
Morgan Stanley Graystone West LA,Family Office,Los Angeles,CA,Los Angeles,N/A,MFO services,N/A,"Hedge fund access, PE access",2,N/A,N/A,,,Low,
HCVT,Family Office,West LA/Encino,CA,Los Angeles,N/A,Business management,N/A,Media & entertainment focus,3,N/A,N/A,,,Low,
Sorenson Capital,Private Equity,Salt Lake City,UT,Mountain West,N/A,"Tech, healthcare, climate tech",~$1.0B,"Growth-stage and small buyouts",2,N/A,N/A,"Regional leader; invests in Silicon Slopes companies",,Low,"Actively hires BYU Marriott MBAs and ex-consultants"
Peterson Partners,Private Equity,Salt Lake City,UT,Mountain West,N/A,"Consumer, services, search funds",N/A,"Lower-middle-market PE and venture",2,N/A,N/A,"Founded by Joel Peterson (ex-Blackstone); strong BYU network; Search Fund incubator",,Low,"Hires pre-MBA analysts (often BYU grads) and occasionally MBA associates"
Mercato Partners,Private Equity,Salt Lake City,UT,Mountain West,N/A,"Tech, branded consumer (Traverse, Savory)",N/A,"Growth equity",2,2007,N/A,"Stance, Cotopaxi investments; Traverse (growth), Alpha (secondaries), Savory (F&B)",,Low,"Recruits associates with finance backgrounds; considers MBA hires with operational experience"
Kickstart Fund,Venture Capital,Salt Lake City,UT,Mountain West,N/A,"Mountain West startups",~$220M,"Seed-stage",2,N/A,~10,"Most active seed VC in Utah; 100+ startups backed",,Low,"Often hires recent grads or MBA interns from BYU/Utah"
Tower Arch Capital,Private Equity,Draper,UT,Mountain West,N/A,"Family-owned businesses",N/A,"Lower middle-market control",2,N/A,N/A,"Inc. Founder-Friendly list; 2-year associate commitments from IB analysts",,Low,"Active recruiter of associates"
Pelion Venture Partners,Venture Capital,Salt Lake City,UT,Mountain West,N/A,"Enterprise software, internet",~$600M,"Early-stage",2,1986,~10,"Divvy, Riverbed portfolio; spun from Novell",,Low,"Occasionally hires pre-MBA analysts (U of Utah grads)"
Crewe Capital,Investment Banking,Salt Lake City,UT,Mountain West,crewe.com,"M&A, private capital advisory",N/A,"Middle-market",3,N/A,N/A,"Focus on Utah's growth companies; taps BYU Marriott network",,Low,
Class VI Partners,Investment Banking,Denver,CO,Mountain West,classvipartners.com,"M&A, exit planning",N/A,"Mid-market",2,N/A,N/A,"Also serves Utah companies; CU Boulder/BYU MBAs on team",,Low,
SDR Ventures,Investment Banking,Denver,CO,Mountain West,sdrventures.com,"Agribusiness, manufacturing, healthcare",N/A,"Sell-side M&A for entrepreneur-owned",2,N/A,N/A,"Recruits analysts from Colorado universities",,Low,
W.G. Nielsen & Co.,Investment Banking,Denver,CO,Mountain West,wgnielsen.com,"Mid-market M&A",N/A,"Middle-market company sales",3,N/A,N/A,"Founded by former Boettcher bankers; very small; hires via networks",,Low,
Excellere Partners,Private Equity,Denver,CO,Mountain West,N/A,"Healthcare, industrial",~$730M,"Founder-led companies",2,2006,N/A,"Recruits associates with IB/consulting backgrounds; MBA hiring from Rockies schools",,Low,
Mountaingate Capital,Private Equity,Denver,CO,Mountain West,N/A,"Marketing services, business services",~$300M,"Lower middle-market",2,N/A,~15,"Spun out of KRG Capital; hires pre-MBA associates from Denver IBs",,Low,
Grey Mountain Partners,Private Equity,Boulder,CO,Mountain West,N/A,"Industrial companies",N/A,"Lower middle-market",3,2003,N/A,"Acquires underperforming industrial companies; small team",,Low,"Opportunistic MBA hiring"
Bow River Capital,Private Equity,Denver,CO,Mountain West,N/A,"Industrial services, healthcare, software",N/A,"Multi-strategy alternative asset manager",2,N/A,N/A,"Launched Evergreen Fund for individual investors; RailPros acquisition",,Low,
Platte River Equity,Private Equity,Denver,CO,Mountain West,N/A,"Industrial, aerospace, chemical",N/A,"Lower middle-market",2,2006,N/A,"Inc. Founder-Friendly Investors list (2022-2024)",,Low,
KSL Capital Partners,Private Equity,Denver,CO,Mountain West,N/A,"Travel and Leisure",Multi-billion,"Ski resorts, luxury hotels",1,N/A,N/A,"Owns iconic ski resorts and hotel chains; recruits hospitality-focused bankers",,Low,
Janus Henderson Investors,Asset Manager,Denver,CO,Mountain West,N/A,"Equity, fixed income",N/A,"Multi-strategy",1,N/A,N/A,"Anchor of Denver financial community; research associate program; hires CU Denver MBAs",,Low,
ArrowMark Partners,Hedge Fund,Denver,CO,Mountain West,N/A,"Leveraged loans, equity, CLOs",$20B+,"Alternative",2,N/A,N/A,"Hires analysts and MBA grads for credit research; recruits from DU Daniels",,Low,
Foundry Group,Venture Capital,Boulder,CO,Mountain West,N/A,"Early-stage tech",~$1B,"Seed/Series A",2,N/A,N/A,"Brad Feld's firm; venture fellows through CU Boulder; no formal MBA hiring",,Low,
Access Venture Partners,Venture Capital,Denver,CO,Mountain West,N/A,"Enterprise software",N/A,"Mid-sized",3,N/A,3-4,"Sometimes takes interns from DU/CU",,Low,
Techstars,Venture Capital/Accelerator,Boulder,CO,Mountain West,N/A,"Accelerators globally",N/A,"Seed",2,N/A,N/A,"Hires program managers - often MBA grads with startup passion",,Low,
Montage Partners,Private Equity,Scottsdale,AZ,Southwest,N/A,"People-First Private Equity","$1.5M-$7M EBITDA","Lower middle-market",2,N/A,N/A,"Active Associate recruiter; hires from Stephens, Platte River, Wharton",,Low,
Grayhawk Capital,Venture Capital,Phoenix,AZ,Southwest,N/A,"B2B SaaS, Healthcare IT, Cybersecurity",N/A,"Early-stage",2,N/A,N/A,"Longest-tenured venture firm in Arizona; Picmonic investment",,Low,
Pinewell Capital,Private Equity,Scottsdale,AZ,Southwest,N/A,"Manufacturing, industrial services",N/A,"Lower middle-market",3,N/A,N/A,"Hands-on operational improvements; sector-agnostic",,Low,
Tallwave Capital,Venture Capital,Phoenix,AZ,Southwest,N/A,"Seed-stage software",~$15M,"Seed",3,N/A,N/A,"Small fund; hires via network",,Low,
Northrim Horizon,Private Equity,Mesa,AZ,Southwest,N/A,"Permanent Capital",N/A,"Micro-PE",3,N/A,N/A,"Holds businesses indefinitely; appeals to legacy-minded founders",,Low,
Persient Capital,Investment Banking,Phoenix,AZ,Southwest,persient.com,"M&A advisory",N/A,"Mid-sized companies",3,N/A,N/A,"Helps mid-sized AZ companies sell or raise capital",,Low,
Bridgepoint Investment Banking,Investment Banking,Omaha,NE,Midwest,N/A,"Agribusiness, energy, Midwest companies",N/A,"M&A and capital raising",2,N/A,N/A,"Occasionally hires local finance talent (Nebraska, Creighton grads)",,Low,
McCarthy Capital,Private Equity,Omaha,NE,Midwest,N/A,"Growth-oriented companies",$30-125M investments,"Middle-market",2,1986,~20,"Omaha Steaks, Medaxion portfolio; long-term partnership focus",,Low,"Hires analysts (Creighton/Nebraska grads) and MBA associates"
First Capital Partners,Private Equity,Omaha,NE,Midwest,N/A,"Mezzanine debt and equity","$10-100M revenue companies","Junior capital",3,2006,~8,"BedJet, NeoSystems portfolio; flexible capital for expansions",,Low,"Hires candidates with credit analysis/banking background"
Percipio Partners,Private Equity,Omaha,NE,Midwest,N/A,"Multifamily RE, farmland, venture",N/A,"Multi-family office style",3,2008,N/A,"Broad asset class approach; hires via personal network",,Low,
Panorama Point Partners,Private Equity,Omaha,NE,Midwest,N/A,"Healthcare, software, impact",N/A,"Expansion-stage",2,N/A,5-6,"Founder managed ~$5B at Capricorn (Jeff Skoll's firm); impact-focused",,Low,"Seeks candidates with finance and impact investing experience"
Weitz Investment Management,Asset Manager,Omaha,NE,Midwest,weitzinvestments.com,"Value-oriented",~$4B,"Long-term stock picking",2,N/A,N/A,"Omaha's other Warren; Buffett-style value investing",,Low,"Hires analysts with deep fundamental research skills; MBA/CFA common"
Bird Dog Equity Partners,Private Equity,Sioux Falls,SD,Midwest,N/A,"Midwest companies (franchised restaurants, industrial)",N/A,"Lower-mid-market",3,N/A,N/A,"Founded by SD entrepreneurs; hires sporadically (USD, SDSU alumni)",,Low,
Bluestem Capital,Private Equity,Sioux Falls,SD,Midwest,N/A,"Regional businesses, venture",~$150M,"Middle-market",3,1993,N/A,"May hire interns from USD; small investment staff",,Low,
South Dakota Trust Company,Trust Company,Sioux Falls,SD,Midwest,sdtrustco.com,"Trust administration for UHNW",$100B+ administered,"1000+ trusts",2,2002,~80,"Leader in trust admin; also SDTC Direct for alternatives",,Low,"Hires trust officers (JD/CFP) and family office investment analysts"
William Blair,Investment Banking,Chicago,IL,Midwest,N/A,"Middle-market M&A, equity research","~1700 employees","Full-service middle-market",1,N/A,N/A,"Leading middle-market IB; recruits MBAs from Booth/Kellogg",,Low,
Lincoln International,Investment Banking,Chicago,IL,Midwest,N/A,"Mid-market M&A specialist",N/A,"Middle-market",1,N/A,N/A,"Global offices; actively hires analysts and MBA associates (Chicago, Northwestern)",,Low,
Mesirow Financial,Investment Banking,Chicago,IL,Midwest,mesirow.com,"Family-owned business sales",N/A,"Mid-market",2,N/A,N/A,"Recruits experienced professionals; some MBAs",,Low,
Loop Capital,Investment Banking,Chicago,IL,Midwest,N/A,"Public finance, advisory",N/A,"Full-service",2,N/A,N/A,"Minority-owned; recruits from local universities",,Low,
GTCR,Private Equity,Chicago,IL,Midwest,N/A,"TMT, healthcare, fintech",$7B+,"Middle/upper-middle market",1,1980,N/A,"Leaders Strategy (backing experienced CEOs); recruits top MBAs (Booth, Kellogg, HBS)",,Low,
Madison Dearborn Partners,Private Equity,Chicago,IL,Midwest,N/A,"Communications, consumer, health, industrial",~$28B,"Middle/upper-middle market buyouts",1,N/A,N/A,"Regularly hires MBA associates (2-3 years IB); strong Booth ties",,Low,
Shore Capital Partners,Private Equity,Chicago,IL,Midwest,N/A,"Micro-cap healthcare, food, business services",~$600M,"Lower middle-market",1,N/A,N/A,"Very active dealmaker (platform + add-ons); hires pre-MBA analysts and post-MBA VPs",,Low,
Kinzie Capital Partners,Private Equity,Chicago,IL,Midwest,N/A,"Consumer, manufactured products, fintech",N/A,"Lower middle-market",3,N/A,N/A,"Female-founded; runs accelerator for portfolio ops; recruits locally",,Low,
Water Street Healthcare Partners,Private Equity,Chicago,IL,Midwest,N/A,"Healthcare exclusively",N/A,"Mid-market",2,N/A,N/A,"Often hires healthcare industry experience + MBA",,Low,
Chicago Ventures,Venture Capital,Chicago,IL,Midwest,N/A,"Chicago and Midwest startups",~$100M,"Seed",2,N/A,~8,"Engages with UChicago and Kellogg; associate program",,Low,
M25,Venture Capital,Chicago,IL,Midwest,N/A,"Midwest startups exclusively",~$30M,"Micro-VC",2,N/A,N/A,"Invests across 12 Midwest states; hires interns from local MBA programs",,Low,
Lightbank,Venture Capital,Chicago,IL,Midwest,N/A,"Disruptive tech",N/A,"Early-stage",2,N/A,5-6,"Founded by Groupon co-founders; networking with Booth entrepreneurs",,Low,
Hyde Park Venture Partners,Venture Capital,Chicago,IL,Midwest,N/A,"Seed-Series A Midwest",$250M,"Seed-A",2,N/A,N/A,"Data-driven investing; offers MBA internships (Kellogg VC Lab, Booth PE/VC lab)",,Low,
Pritzker Group,Private Equity/VC,Chicago,IL,Midwest,N/A,"Venture capital and middle-market PE",N/A,"Multi-strategy",1,N/A,N/A,"Family office with VC and PE arms; MBA fellowship and post-MBA associate hiring",,Low,
Cresset Capital (Chicago),Family Office,Chicago,IL,Midwest,cressetcapital.com,"UHNW multi-family office",N/A,"Private investments",1,N/A,N/A,"Two-year post-MBA Rotational Analyst program; fast-growing",,Low,
Harrison Street,Private Equity,Chicago,IL,Midwest,N/A,"Real estate alt asset manager",N/A,"Real estate PE",2,N/A,N/A,"Started as family office; recruits MBAs for real estate PE roles",,Low,
Piper Sandler,Investment Banking,Minneapolis,MN,Midwest,pipersandler.com,"Healthcare, industrials, consumer",N/A,"Top middle-market bank",1,N/A,N/A,"Strong regional recruiter (U of Minnesota, Carlson grads)",,Low,
Norwest Equity Partners,Private Equity,Minneapolis,MN,Midwest,N/A,"Consumer, industrial, agri-business",N/A,"Middle-market buyouts",2,N/A,N/A,"Long-standing Minneapolis PE; hires from Piper/Wells Fargo and Kellogg, Carlson",,Low,
ShoreView Industries,Private Equity,Minneapolis,MN,Midwest,N/A,"Niche manufacturing/services",N/A,"Middle-market",3,N/A,N/A,"Lean team; some Carlson MBA alums",,Low,
Tonka Bay Equity Partners,Private Equity,Minneapolis,MN,Midwest,N/A,"Midwest companies","$5-25M investments","Lower mid-market",3,N/A,N/A,"Small team; hires via local connections",,Low,
Arthur Ventures,Venture Capital,Minneapolis/Fargo,MN,Midwest,N/A,"B2B software in non-coastal markets",N/A,"Early-growth",2,N/A,N/A,"Often hires associates from undergrad or industry; open to MBAs with product/tech",,Low,
Matchstick Ventures,Venture Capital,Minneapolis,MN,Midwest,N/A,"Rockies & North region startups",N/A,"Seed",3,N/A,N/A,"Run by Techstars alumni; engages with U of Minnesota for interns",,Low,
Whitebox Advisors,Hedge Fund,Minneapolis,MN,Midwest,N/A,"Credit and equity strategies",~$5B,"Multi-strategy",2,N/A,N/A,"Founded by Andy Redleaf; has hired UMN Carlson MBAs",,Low,
Värde Partners,Hedge Fund/PE,Minneapolis,MN,Midwest,N/A,"Alt credit, distressed",~$14B,"Credit investing",1,N/A,N/A,"Hires MBAs for Associate programs; recruits at Wharton, Chicago",,Low,
CarVal Investors,Hedge Fund,Minneapolis,MN,Midwest,N/A,"Distressed, credit",~$10B,"Special situations",2,N/A,N/A,"Ex-Cargill fund; hires with strong credit background (MBA + CPA/banking)",,Low,
Tudor Pickering Holt,Investment Banking,Houston,TX,Texas,N/A,"Energy-focused M&A",N/A,"Energy sector (oil & gas)",1,N/A,~70,"Leading energy IB (now part of Perella Weinberg); recruits MBAs from McCombs, Rice",,Low,
Stephens Inc.,Investment Banking,Dallas,TX,Texas,N/A,"Southwest deals",N/A,"Mid-market",2,N/A,N/A,"Little Rock-based with Dallas office; recruits from Texas and SEC schools",,Low,
HBK Capital Management,Hedge Fund,Dallas,TX,Texas,N/A,"Multi-strategy, arbitrage",~$10B,"Multi-strategy",2,N/A,N/A,"Occasionally hires exceptionally qualified MBAs (prior HF/sell-side experience)",,Low,
Corriente Advisors,Hedge Fund,Fort Worth,TX,Texas,N/A,"Global macro",N/A,"Macro",3,N/A,N/A,"Led by Mark Hart; occasionally hires analysts with strong economics",,Low,
Q Investments,Hedge Fund/PE,Fort Worth,TX,Texas,N/A,"Distressed, special situations",$1B+,"Hybrid HF/PE",2,N/A,N/A,"Known to hire and train young talent from UT Austin, TCU; intense culture",,Low,
Balyasny Asset Management (TX),Hedge Fund,Austin/Dallas,TX,Texas,N/A,"Multi-strategy",N/A,"Multi-strategy",2,N/A,N/A,"Expanded in Texas; posts openings for sector analysts; MBAs with experience",,Low,
Crow Holdings,Family Office,Dallas,TX,Texas,N/A,"Real estate, PE, hedge funds",N/A,"Diversified asset manager",1,N/A,N/A,"Trammell Crow family office; hires MBAs for real estate PE and development",,Low,"Recruits from Texas MBA programs"
Hunt Investment Group,Family Office,Dallas,TX,Texas,N/A,"Energy, real estate, venture",N/A,"Family office",2,N/A,N/A,"Ray Hunt family; likely hires energy-focused MBAs (Texas A&M, UT)",,Low,
Perot Investments,Family Office,Dallas,TX,Texas,N/A,"Tech, real estate, PE",N/A,"Family office with venture arm (Perot Jain)",2,N/A,N/A,"Occasionally posts analyst/associate roles; prefers military/tech backgrounds",,Low,
Mercury Fund,Venture Capital,Houston,TX,Texas,N/A,"SaaS, data science in Midcontinent",N/A,"Early-stage",2,N/A,N/A,"Partner in Utah; has hired MBA interns from Rice, UT Austin",,Low,
Five Elms Capital,Private Equity,Kansas City,MO,Midwest,N/A,"B2B software/SaaS",~$700M,"Growth equity",2,N/A,N/A,"Recruits analysts from KU/KSU or Chicago bankers; MBA hires from regional schools",,Low,
